PartcipantID:be28
InitialTimeStamp:15-17-55-382
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen
block;trial;eventType;elapsedTime
1;1;1;60
1;1;11;3065
1;1;2;25095
1;1;21;26264
1;1;3;27127
1;2;1;32183
1;2;11;35183
1;2;2;57227
1;2;21;58316
1;2;3;59260
1;3;1;64318
1;3;11;67317
1;3;2;89345
1;3;21;90268
1;3;3;91378
1;4;1;96434
1;4;11;99434
1;4;2;121464
1;4;21;122669
1;4;3;123496
1;5;1;128555
1;5;11;131551
1;5;2;153580
1;5;21;154786
1;5;3;155614
1;6;1;160670
1;6;11;163670
1;6;2;185699
1;6;21;186688
1;6;3;187732
1;7;1;192789
1;7;11;195787
1;7;2;217817
1;7;3;219850
1;8;1;224908
1;8;11;227905
1;8;2;249933
1;8;21;251206
1;8;3;251966
1;9;1;257026
1;9;11;260023
1;9;2;282053
1;9;21;283058
1;9;3;284084
1;10;1;289143
1;10;11;292141
1;10;2;314170
1;10;21;315392
1;10;3;316203
1;11;1;321260
1;11;11;324258
1;11;2;346289
1;11;21;347343
1;11;3;348320
1;12;1;353376
1;12;11;356377
1;12;2;378422
1;12;21;379660
1;12;3;380456
1;13;1;385512
1;13;11;388511
1;13;2;410540
1;13;21;411511
1;13;3;412573
1;14;1;417630
1;14;11;420629
1;14;2;442674
1;14;21;443696
1;14;3;444707
1;15;1;449765
1;15;11;452763
1;15;2;474793
1;15;21;475831
1;15;3;476825
1;16;1;481883
1;16;11;484881
1;16;2;506909
1;16;21;507899
1;16;3;508943
1;17;1;514000
1;17;11;516999
1;17;2;539027
1;17;21;540083
1;17;3;541060
1;18;1;546118
1;18;11;549115
1;18;2;571146
1;18;21;572084
1;18;3;573178
1;19;1;578236
1;19;11;581234
1;19;2;603264
1;19;21;604369
1;19;3;605296
1;20;1;610355
1;20;11;613352
1;20;2;635382
1;20;21;636353
1;20;3;637413
1;21;1;642471
1;21;11;645470
1;21;2;667500
1;21;21;668521
1;21;3;669532
1;22;1;674579
1;22;11;677588
1;22;2;699616
1;22;21;701171
1;22;3;701649
1;23;1;706707
1;23;11;709706
1;23;2;731735
1;23;21;732756
1;23;3;733767
1;24;1;738823
1;24;11;741823
1;24;2;763852
1;24;21;764890
1;24;3;765885
2;0;4;770941
2;1;1;830994
2;1;11;833992
2;1;2;856022
2;1;21;857477
2;1;3;858056
2;2;1;863113
2;2;11;866110
2;2;2;888139
2;2;21;889078
2;2;3;890172
2;3;1;895231
2;3;11;898228
2;3;2;920258
2;3;21;921329
2;3;3;922290
2;4;1;927347
2;4;11;930346
2;4;2;952376
2;4;21;953431
2;4;3;954409
2;5;1;959464
2;5;11;962464
2;5;2;984510
2;5;21;986098
2;5;3;986542
2;6;1;991601
2;6;11;994598
2;6;2;1016627
2;6;21;1017749
2;6;3;1018661
2;7;1;1023718
2;7;11;1026715
2;7;2;1048746
2;7;21;1049533
2;7;3;1050778
2;8;1;1055837
2;8;11;1058833
2;8;2;1080864
2;8;21;1081901
2;8;3;1082896
2;9;1;1087954
2;9;11;1090952
2;9;2;1112981
2;9;21;1114336
2;9;3;1115014
2;10;1;1120071
2;10;11;1123069
2;10;2;1145099
2;10;21;1147054
2;10;3;1147132
2;11;1;1152187
2;11;11;1155187
2;11;2;1177216
2;11;21;1178272
2;11;3;1179249
2;12;1;1184307
2;12;11;1187305
2;12;2;1209335
2;12;21;1210306
2;12;3;1211367
2;13;1;1216424
2;13;11;1219423
2;13;2;1241451
2;13;3;1243484
2;14;1;1248542
2;14;11;1251541
2;14;2;1273570
2;14;21;1274841
2;14;3;1275602
2;15;1;1280660
2;15;11;1283658
2;15;2;1305688
2;15;21;1306809
2;15;3;1307719
2;16;1;1312778
2;16;11;1315775
2;16;2;1337806
2;16;21;1339794
2;16;3;1339837
2;17;1;1344895
2;17;11;1347894
2;17;2;1369938
2;17;21;1371112
2;17;3;1371972
2;18;1;1377031
2;18;11;1380029
2;18;2;1402074
2;18;21;1403212
2;18;3;1404106
2;19;1;1409165
2;19;11;1412163
2;19;2;1434192
2;19;21;1435246
2;19;3;1436224
2;20;1;1441283
2;20;11;1444281
2;20;2;1466325
2;20;21;1467298
2;20;3;1468359
2;21;1;1473417
2;21;11;1476414
2;21;2;1498444
2;21;21;1499516
2;21;3;1500477
2;22;1;1505534
2;22;11;1508533
2;22;2;1530562
2;22;21;1531550
2;22;3;1532595
2;23;1;1537652
2;23;11;1540650
2;23;2;1562679
2;23;21;1563685
2;23;3;1564711
2;24;1;1569770
2;24;11;1572767
2;24;2;1594798
2;24;21;1595686
2;24;3;1596830
3;0;4;1601886
3;1;1;1661929
3;1;11;1664938
3;1;2;1686985
3;1;21;1688155
3;1;3;1689015
3;2;1;1694075
3;2;11;1697073
3;2;2;1719102
3;2;21;1720040
3;2;3;1721133
3;3;1;1726191
3;3;11;1729191
3;3;2;1751220
3;3;21;1752225
3;3;3;1753252
3;4;1;1758310
3;4;11;1761308
3;4;2;1783337
3;4;21;1784292
3;4;3;1785370
3;5;1;1790427
3;5;11;1793426
3;5;2;1815455
3;5;21;1816577
3;5;3;1817487
3;6;1;1822545
3;6;11;1825543
3;6;2;1847573
3;6;21;1848645
3;6;3;1849605
3;7;1;1854662
3;7;11;1857661
3;7;2;1879689
3;7;21;1880712
3;7;3;1881722
3;8;1;1886763
3;8;11;1889762
3;8;2;1911792
3;8;21;1912780
3;8;3;1913823
3;9;1;1918882
3;9;11;1921880
3;9;2;1943910
3;9;21;1944831
3;9;3;1945941
3;10;1;1951000
3;10;11;1953998
3;10;2;1976027
3;10;21;1977016
3;10;3;1978060
3;11;1;1983117
3;11;11;1986116
3;11;2;2008145
3;11;21;2009083
3;11;3;2010176
3;12;1;2015235
3;12;11;2018234
3;12;2;2040280
3;12;21;2041318
3;12;3;2042312
3;13;1;2047369
3;13;11;2050368
3;13;2;2072397
3;13;21;2073336
3;13;3;2074429
3;14;1;2079487
3;14;11;2082486
3;14;2;2104516
3;14;21;2105436
3;14;3;2106547
3;15;1;2111604
3;15;11;2114604
3;15;2;2136632
3;15;21;2137654
3;15;3;2138665
3;16;1;2143722
3;16;11;2146722
3;16;2;2168750
3;16;21;2169771
3;16;3;2170782
3;17;1;2175841
3;17;11;2178839
3;17;2;2200867
3;17;21;2202090
3;17;3;2202901
3;18;1;2207957
3;18;11;2210957
3;18;2;2232986
3;18;21;2234057
3;18;3;2235018
3;19;1;2240076
3;19;11;2243075
3;19;2;2265104
3;19;21;2266108
3;19;3;2267136
3;20;1;2272195
3;20;11;2275192
3;20;2;2297221
3;20;21;2298460
3;20;3;2299254
3;21;1;2304312
3;21;11;2307310
3;21;2;2329340
3;21;21;2330278
3;21;3;2331372
3;22;1;2336429
3;22;11;2339428
3;22;2;2361457
3;22;21;2362694
3;22;3;2363490
3;23;1;2368548
3;23;11;2371546
3;23;2;2393592
3;23;21;2394613
3;23;3;2395624
3;24;1;2400681
3;24;11;2403680
3;24;2;2425709
3;24;21;2426864
3;24;3;2427743
3;24;5;2432797
