PartcipantID:be23
InitialTimeStamp:10-52-15-192
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen
block;trial;eventType;elapsedTime
1;1;1;48
1;1;11;3049
1;1;2;25068
1;1;21;26965
1;1;3;27095
1;2;1;32130
1;2;11;35134
1;2;2;57153
1;2;21;58468
1;2;3;59170
1;3;1;64210
1;3;11;67216
1;3;2;89233
1;3;21;89966
1;3;3;91249
1;4;1;96285
1;4;11;99290
1;4;2;121319
1;4;21;122733
1;4;3;123339
1;5;1;128375
1;5;11;131383
1;5;2;153401
1;5;21;154912
1;5;3;155427
1;6;1;160471
1;6;11;163480
1;6;2;185497
1;6;21;186394
1;6;3;187526
1;7;1;192568
1;7;11;195571
1;7;2;217600
1;7;21;218684
1;7;3;219626
1;8;1;224668
1;8;11;227671
1;8;2;249688
1;8;21;251225
1;8;3;251719
1;9;1;256761
1;9;11;259770
1;9;2;281788
1;9;21;283137
1;9;3;283804
1;10;1;288843
1;10;11;291847
1;10;2;313865
1;10;21;315412
1;10;3;315895
1;11;1;320936
1;11;11;323941
1;11;2;345968
1;11;21;347647
1;11;3;347999
1;12;1;353043
1;12;11;356049
1;12;2;378067
1;12;21;378885
1;12;3;380085
1;13;1;385126
1;13;11;388130
1;13;2;410148
1;13;21;410995
1;13;3;412166
1;14;1;417207
1;14;11;420213
1;14;2;442241
1;14;21;444092
1;14;3;444270
1;15;1;449311
1;15;11;452315
1;15;2;474330
1;15;21;475531
1;15;3;476346
1;16;1;481385
1;16;11;484392
1;16;2;506421
1;16;21;508173
1;16;3;508442
1;17;1;513480
1;17;11;516483
1;17;2;538502
1;17;21;539831
1;17;3;540518
1;18;1;545558
1;18;11;548563
1;18;2;570580
1;18;21;571429
1;18;3;572598
1;19;1;577637
1;19;11;580646
1;19;2;602662
1;19;21;603760
1;19;3;604684
1;20;1;609724
1;20;11;612733
1;20;2;634748
1;20;21;635755
1;20;3;636769
1;21;1;641809
1;21;11;644814
1;21;2;666830
1;21;21;668139
1;21;3;668850
1;22;1;673888
1;22;11;676893
1;22;2;698911
1;22;21;699751
1;22;3;700925
1;23;1;705965
1;23;11;708970
1;23;2;730986
1;23;21;732664
1;23;3;733005
1;24;1;738044
1;24;11;741049
1;24;2;763068
1;24;21;764758
1;24;3;765086
2;0;4;770124
2;1;1;830164
2;1;11;833172
2;1;2;855190
2;1;21;856487
2;1;3;857206
2;2;1;862245
2;2;11;865252
2;2;2;887269
2;2;21;888248
2;2;3;889298
2;3;1;894338
2;3;11;897346
2;3;2;919365
2;3;21;921115
2;3;3;921385
2;4;1;926428
2;4;11;929433
2;4;2;951451
2;4;3;953482
2;5;1;958520
2;5;11;961527
2;5;2;983555
2;5;21;984224
2;5;3;985575
2;6;1;990610
2;6;11;993615
2;6;2;1015641
2;6;21;1016726
2;6;3;1017663
2;7;1;1022701
2;7;11;1025706
2;7;2;1047725
2;7;21;1048887
2;7;3;1049743
2;8;1;1054784
2;8;11;1057791
2;8;2;1079807
2;8;21;1080535
2;8;3;1081824
2;9;1;1086862
2;9;11;1089871
2;9;2;1111887
2;9;21;1112731
2;9;3;1113906
2;10;1;1118947
2;10;11;1121952
2;10;2;1143979
2;10;21;1145354
2;10;3;1146000
2;11;1;1151039
2;11;11;1154041
2;11;2;1176068
2;11;21;1177112
2;11;3;1178083
2;12;1;1183124
2;12;11;1186131
2;12;2;1208149
2;12;21;1209368
2;12;3;1210169
2;13;1;1215207
2;13;11;1218214
2;13;2;1240232
2;13;21;1241565
2;13;3;1242254
2;14;1;1247293
2;14;11;1250297
2;14;2;1272313
2;14;21;1273376
2;14;3;1274329
2;15;1;1279369
2;15;11;1282372
2;15;2;1304400
2;15;21;1305315
2;15;3;1306418
2;16;1;1311463
2;16;11;1314472
2;16;2;1336492
2;16;21;1337214
2;16;3;1338520
2;17;1;1343565
2;17;11;1346574
2;17;2;1368601
2;17;21;1370468
2;17;3;1370621
2;18;1;1375663
2;18;11;1378665
2;18;2;1400683
2;18;21;1401765
2;18;3;1402702
2;19;1;1407743
2;19;11;1410746
2;19;2;1432764
2;19;21;1433414
2;19;3;1434794
2;20;1;1439835
2;20;11;1442841
2;20;2;1464858
2;20;21;1465911
2;20;3;1466877
2;21;1;1471919
2;21;11;1474922
2;21;2;1496952
2;21;21;1497824
2;21;3;1498982
2;22;1;1504024
2;22;11;1507033
2;22;2;1529059
2;22;21;1529888
2;22;3;1531090
2;23;1;1536134
2;23;11;1539136
2;23;2;1561151
2;23;21;1562159
2;23;3;1563172
2;24;1;1568210
2;24;11;1571215
2;24;2;1593232
2;24;21;1594191
2;24;3;1595252
3;0;4;1600291
3;1;1;1660335
3;1;11;1663336
3;1;2;1685354
3;1;21;1686228
3;1;3;1687376
3;2;1;1692416
3;2;11;1695421
3;2;2;1717438
3;2;21;1718146
3;2;3;1719454
3;3;1;1724492
3;3;11;1727493
3;3;2;1749511
3;3;21;1750280
3;3;3;1751530
3;4;1;1756569
3;4;11;1759576
3;4;2;1781592
3;4;21;1782474
3;4;3;1783619
3;5;1;1788663
3;5;11;1791667
3;5;2;1813694
3;5;21;1814752
3;5;3;1815716
3;6;1;1820754
3;6;11;1823761
3;6;2;1845780
3;6;21;1846367
3;6;3;1847797
3;7;1;1852841
3;7;11;1855844
3;7;2;1877860
3;7;21;1879539
3;7;3;1879879
3;8;1;1884916
3;8;11;1887919
3;8;2;1909939
3;8;21;1911357
3;8;3;1911967
3;9;1;1917009
3;9;11;1920012
3;9;2;1942029
3;9;21;1942692
3;9;3;1944048
3;10;1;1949088
3;10;11;1952092
3;10;2;1974109
3;10;21;1975876
3;10;3;1976140
3;11;1;1981182
