PartcipantID:be29
InitialTimeStamp:14-54-41-124
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen
block;trial;eventType;elapsedTime
1;1;1;51
1;1;11;3049
1;1;2;25079
1;1;21;26272
1;1;3;27110
1;2;1;32144
1;2;11;35151
1;2;2;57168
1;2;21;58158
1;2;3;59195
1;3;1;64232
1;3;11;67238
1;3;2;89255
1;3;21;89888
1;3;3;91269
1;4;1;96307
1;4;11;99315
1;4;2;121332
1;4;21;121900
1;4;3;123347
1;5;1;128388
1;5;11;131393
1;5;2;153411
1;5;21;154001
1;5;3;155430
1;6;1;160468
1;6;11;163471
1;6;2;185498
1;6;21;185964
1;6;3;187516
1;7;1;192558
1;7;11;195561
1;7;2;217588
1;7;21;218498
1;7;3;219607
1;8;1;224647
1;8;11;227650
1;8;2;249676
1;8;21;250423
1;8;3;251695
1;9;1;256732
1;9;11;259739
1;9;2;281766
1;9;21;282331
1;9;3;283785
1;10;1;288825
1;10;11;291829
1;10;2;313844
1;10;21;314403
1;10;3;315875
1;11;1;320915
1;11;11;323922
1;11;2;345940
1;11;21;346817
1;11;3;347957
1;12;1;352998
1;12;11;356001
1;12;2;378017
1;12;21;378391
1;12;3;380036
1;13;1;385076
1;13;11;388080
1;13;2;410096
1;13;21;410693
1;13;3;412115
1;14;1;417155
1;14;11;420163
1;14;2;442178
1;14;21;442899
1;14;3;444194
1;15;1;449234
1;15;11;452236
1;15;2;474255
1;15;21;474748
1;15;3;476285
1;16;1;481326
1;16;11;484330
1;16;2;506346
1;16;21;506857
1;16;3;508375
1;17;1;513417
1;17;11;516422
1;17;2;538440
1;17;21;538956
1;17;3;540460
1;18;1;545503
1;18;11;548511
1;18;2;570538
1;18;21;571678
1;18;3;572554
1;19;1;577592
1;19;11;580597
1;19;2;602615
1;19;21;603157
1;19;3;604632
1;20;1;609676
1;20;11;612682
1;20;2;634699
1;20;21;635158
1;20;3;636716
1;21;1;641760
1;21;11;644765
1;21;2;666794
1;21;21;667246
1;21;3;668810
1;22;1;673850
1;22;11;676852
1;22;2;698869
1;22;21;699504
1;22;3;700886
1;23;1;705926
1;23;11;708932
1;23;2;730948
1;23;21;731468
1;23;3;732964
1;24;1;738007
1;24;11;741012
1;24;2;763029
1;24;21;763466
1;24;3;765057
2;0;4;770084
2;1;1;830126
2;1;11;833132
2;1;2;855146
2;1;21;855681
2;1;3;857169
2;2;1;862209
2;2;11;865214
2;2;2;887230
2;2;21;888026
2;2;3;889249
2;3;1;894291
2;3;11;897296
2;3;2;919321
2;3;21;919901
2;3;3;921342
2;4;1;926384
2;4;11;929387
2;4;2;951402
2;4;21;951917
2;4;3;953429
2;5;1;958468
2;5;11;961475
2;5;2;983491
2;5;21;983967
2;5;3;985507
2;6;1;990547
2;6;11;993555
2;6;2;1015572
2;6;21;1017122
2;6;3;1017590
2;7;1;1022631
2;7;11;1025635
2;7;2;1047651
2;7;21;1048186
2;7;3;1049704
2;8;1;1054748
2;8;11;1057755
2;8;2;1079772
2;8;21;1080209
2;8;3;1081791
2;9;1;1086832
2;9;11;1089836
2;9;2;1111853
2;9;21;1112438
2;9;3;1113874
2;10;1;1118913
2;10;11;1121918
2;10;2;1143934
2;10;21;1144653
2;10;3;1145953
2;11;1;1150990
2;11;11;1153996
2;11;2;1176014
2;11;21;1176646
2;11;3;1178030
2;12;1;1183069
2;12;11;1186074
2;12;2;1208095
2;12;21;1208530
2;12;3;1210101
2;13;1;1215141
2;13;11;1218144
2;13;2;1240159
2;13;21;1240724
2;13;3;1242182
2;14;1;1247224
2;14;11;1250228
2;14;2;1272244
2;14;21;1272891
2;14;3;1274263
2;15;1;1279303
2;15;11;1282308
2;15;2;1304324
2;15;21;1304815
2;15;3;1306354
2;16;1;1311395
2;16;11;1314401
2;16;2;1336418
2;16;21;1336832
2;16;3;1338441
2;17;1;1343482
2;17;11;1346489
2;17;2;1368515
2;17;21;1369011
2;17;3;1370543
2;18;1;1375584
2;18;11;1378587
2;18;2;1400604
2;18;21;1401627
2;18;3;1402623
2;19;1;1407670
2;19;11;1410673
2;19;2;1432689
2;19;21;1433300
2;19;3;1434705
2;20;1;1439746
2;20;11;1442751
2;20;2;1464769
2;20;21;1465204
2;20;3;1466786
2;21;1;1471824
2;21;11;1474830
2;21;2;1496846
2;21;21;1497454
2;21;3;1498874
2;22;1;1503913
2;22;11;1506919
2;22;2;1528946
2;22;21;1529654
2;22;3;1530965
2;23;1;1536006
2;23;11;1539017
2;23;2;1561033
2;23;21;1562224
2;23;3;1563062
2;24;1;1568104
2;24;11;1571109
2;24;2;1593126
2;24;21;1593904
2;24;3;1595151
3;0;4;1600192
3;1;1;1660235
3;1;11;1663239
3;1;2;1685255
3;1;21;1685689
3;1;3;1687289
3;2;1;1692333
3;2;11;1695337
3;2;2;1717354
3;2;21;1717914
3;2;3;1719374
3;3;1;1724413
3;3;11;1727418
3;3;2;1749437
3;3;21;1750054
3;3;3;1751453
3;4;1;1756494
3;4;11;1759499
3;4;2;1781519
3;4;21;1782040
3;4;3;1783538
3;5;1;1788580
3;5;11;1791585
3;5;2;1813601
3;5;21;1815232
3;5;3;1815629
3;6;1;1820672
3;6;11;1823677
3;6;2;1845694
3;6;21;1846244
3;6;3;1847726
3;7;1;1852768
3;7;11;1855774
3;7;2;1877790
3;7;21;1879160
3;7;3;1879829
3;8;1;1884872
3;8;11;1887876
3;8;2;1909894
3;8;21;1910509
3;8;3;1911922
3;9;1;1916962
3;9;11;1919968
3;9;2;1941995
3;9;21;1942561
3;9;3;1944024
3;10;1;1949064
3;10;11;1952070
3;10;2;1974087
3;10;21;1974534
3;10;3;1976106
3;11;1;1981148
3;11;11;1984155
3;11;2;2006172
3;11;21;2006703
3;11;3;2008192
3;12;1;2013230
3;12;11;2016233
3;12;2;2038250
3;12;21;2039720
3;12;3;2040269
3;13;1;2045309
3;13;11;2048314
3;13;2;2070330
3;13;21;2070847
3;13;3;2072347
3;14;1;2077389
3;14;11;2080396
3;14;2;2102413
3;14;21;2102928
3;14;3;2104433
3;15;1;2109473
3;15;11;2112479
3;15;2;2134497
3;15;21;2135005
3;15;3;2136509
3;16;1;2141547
3;16;11;2144552
3;16;2;2166570
3;16;21;2167429
3;16;3;2168600
3;17;1;2173644
3;17;11;2176646
3;17;2;2198663
3;17;21;2199205
3;17;3;2200685
3;18;1;2205722
3;18;11;2208725
3;18;2;2230740
3;18;21;2231282
3;18;3;2232757
3;19;1;2237797
3;19;11;2240802
3;19;2;2262817
3;19;21;2263775
3;19;3;2264838
3;20;1;2269868
3;20;11;2272867
3;20;2;2294884
3;20;21;2295378
3;20;3;2296905
3;21;1;2301941
3;21;11;2304947
3;21;2;2326975
3;21;21;2327591
3;21;3;2329003
3;22;1;2334037
3;22;11;2337038
3;22;2;2359054
3;22;21;2359679
3;22;3;2361072
3;23;1;2366117
3;23;11;2369121
3;23;2;2391138
3;23;21;2392011
3;23;3;2393155
3;24;1;2398195
3;24;11;2401203
3;24;2;2423219
3;24;21;2423641
3;24;3;2425248
3;24;5;2430289
