PartcipantID:be25
InitialTimeStamp:15-18-46-231
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen
block;trial;eventType;elapsedTime
1;1;1;72
1;1;11;3083
1;1;2;25128
1;1;21;26083
1;1;3;27161
1;2;1;32219
1;2;11;35217
1;2;2;57246
1;2;21;57785
1;2;3;59279
1;3;1;64337
1;3;11;67334
1;3;2;89364
1;3;21;89936
1;3;3;91395
1;4;1;96454
1;4;11;99453
1;4;2;121482
1;4;21;122203
1;4;3;123514
1;5;1;128572
1;5;11;131571
1;5;2;153600
1;5;21;154071
1;5;3;155631
1;6;1;160690
1;6;11;163689
1;6;2;185717
1;6;21;186239
1;6;3;187750
1;7;1;192808
1;7;11;195806
1;7;2;217852
1;7;21;218540
1;7;3;219884
1;8;1;224942
1;8;11;227941
1;8;2;249970
1;8;21;250725
1;8;3;252003
1;9;1;257060
1;9;11;260058
1;9;2;282087
1;9;21;282608
1;9;3;284120
1;10;1;289177
1;10;11;292176
1;10;2;314205
1;10;21;314761
1;10;3;316237
1;11;1;321296
1;11;11;324294
1;11;2;346324
1;11;21;346928
1;11;3;348354
1;12;1;353414
1;12;11;356412
1;12;2;378458
1;12;21;378945
1;12;3;380490
1;13;1;385547
1;13;11;388546
1;13;2;410576
1;13;21;411347
1;13;3;412608
1;14;1;417665
1;14;11;420664
1;14;2;442694
1;14;21;443198
1;14;3;444725
1;15;1;449783
1;15;11;452783
1;15;2;474812
1;15;21;475532
1;15;3;476844
1;16;1;481901
1;16;11;484900
1;16;2;506929
1;16;21;507566
1;16;3;508961
1;17;1;514019
1;17;11;517017
1;17;2;539047
1;17;21;539784
1;17;3;541080
1;18;1;546135
1;18;11;549136
1;18;2;571165
1;18;21;571869
1;18;3;573197
1;19;1;578255
1;19;11;581253
1;19;2;603282
1;19;21;603937
1;19;3;605315
1;20;1;610373
1;20;11;613371
1;20;2;635399
1;20;21;636739
1;20;3;637433
1;21;1;642490
1;21;11;645489
1;21;2;667518
1;21;21;669106
1;21;3;669552
1;22;1;674607
1;22;11;677606
1;22;2;699635
1;22;21;700224
1;22;3;701669
1;23;1;706726
1;23;11;709724
1;23;2;731753
1;23;21;732092
1;23;3;733785
1;24;1;738843
1;24;11;741841
1;24;2;763872
1;24;21;764360
1;24;3;765904
2;0;4;770959
2;1;1;831014
2;1;11;834012
2;1;2;856058
2;1;21;856645
2;1;3;858091
2;2;1;863146
2;2;11;866147
2;2;2;888192
2;2;21;888913
2;2;3;890225
2;3;1;895281
2;3;11;898281
2;3;2;920309
2;3;21;920914
2;3;3;922343
2;4;1;927399
2;4;11;930398
2;4;2;952428
2;4;21;953066
2;4;3;954459
2;5;1;959518
2;5;11;962517
2;5;2;984545
2;5;21;984984
2;5;3;986577
2;6;1;991635
2;6;11;994634
2;6;2;1016663
2;6;21;1017635
2;6;3;1018697
2;7;1;1023754
2;7;11;1026751
2;7;2;1048781
2;7;21;1049670
2;7;3;1050813
2;8;1;1055872
2;8;11;1058870
2;8;2;1080898
2;8;21;1081554
2;8;3;1082932
2;9;1;1087990
2;9;11;1090987
2;9;2;1113017
2;9;21;1113522
2;9;3;1115049
2;10;1;1120107
2;10;11;1123106
2;10;2;1145135
2;10;21;1146256
2;10;3;1147167
2;11;1;1152225
2;11;11;1155224
2;11;2;1177252
2;11;21;1177941
2;11;3;1179285
2;12;1;1184343
2;12;11;1187341
2;12;2;1209371
2;12;21;1210158
2;12;3;1211402
2;13;1;1216461
2;13;11;1219459
2;13;2;1241488
2;13;21;1242077
2;13;3;1243520
2;14;1;1248576
2;14;11;1251577
2;14;2;1273607
2;14;21;1274228
2;14;3;1275638
2;15;1;1280696
2;15;11;1283694
2;15;2;1305723
2;15;21;1306328
2;15;3;1307756
2;16;1;1312814
2;16;11;1315812
2;16;2;1337840
2;16;21;1338480
2;16;3;1339875
2;17;1;1344931
2;17;11;1347930
2;17;2;1369960
2;17;21;1371447
2;17;3;1371991
2;18;1;1377050
2;18;11;1380048
2;18;2;1402076
2;18;21;1402815
2;18;3;1404110
2;19;1;1409168
2;19;11;1412166
2;19;2;1434194
2;19;21;1434933
2;19;3;1436226
2;20;1;1441285
2;20;11;1444283
2;20;2;1466313
2;20;21;1467018
2;20;3;1468346
2;21;1;1473403
2;21;11;1476400
2;21;2;1498431
2;21;21;1499036
2;21;3;1500463
2;22;1;1505520
2;22;11;1508519
2;22;2;1530564
2;22;21;1531620
2;22;3;1532597
2;23;1;1537655
2;23;11;1540654
2;23;2;1562683
2;23;21;1563470
2;23;3;1564715
2;24;1;1569773
2;24;11;1572772
2;24;2;1594817
2;24;21;1595505
2;24;3;1596849
3;0;4;1601906
3;1;1;1661959
3;1;11;1664958
3;1;2;1686987
3;1;21;1687659
3;1;3;1689020
3;2;1;1694077
3;2;11;1697076
3;2;2;1719121
3;2;21;1719826
3;2;3;1721155
3;3;1;1726213
3;3;11;1729210
3;3;2;1751240
3;3;21;1752111
3;3;3;1753272
3;4;1;1758330
3;4;11;1761328
3;4;2;1783357
3;4;21;1784062
3;4;3;1785389
3;5;1;1790448
3;5;11;1793446
3;5;2;1815491
3;5;21;1816413
3;5;3;1817523
3;6;1;1822580
3;6;11;1825580
3;6;2;1847609
3;6;21;1848164
3;6;3;1849642
3;7;1;1854699
3;7;11;1857698
3;7;2;1879727
3;7;21;1880682
3;7;3;1881759
3;8;1;1886817
3;8;11;1889816
3;8;2;1911861
3;8;21;1912466
3;8;3;1913894
3;9;1;1918952
3;9;11;1921951
3;9;2;1943979
3;9;21;1944601
3;9;3;1946011
3;10;1;1951070
3;10;11;1954067
3;10;2;1976097
3;10;21;1977219
3;10;3;1978129
3;11;1;1983188
3;11;11;1986186
3;11;2;2008214
3;11;21;2008920
3;11;3;2010248
3;12;1;2015306
3;12;11;2018303
3;12;2;2040333
3;12;21;2041538
3;12;3;2042365
3;13;1;2047422
3;13;11;2050421
3;13;2;2072451
3;13;21;2073139
3;13;3;2074483
3;14;1;2079542
3;14;11;2082539
3;14;2;2104569
3;14;21;2105140
3;14;3;2106601
3;15;1;2111657
3;15;11;2114657
3;15;2;2136686
3;15;21;2137325
3;15;3;2138719
3;16;1;2143776
3;16;11;2146775
3;16;2;2168804
3;16;21;2169459
3;16;3;2170836
3;17;1;2175895
3;17;11;2178893
3;17;2;2200921
3;17;21;2201510
3;17;3;2202956
3;18;1;2208012
3;18;11;2211010
3;18;2;2233039
3;18;3;2235071
3;19;1;2240131
3;19;11;2243128
3;19;2;2265158
3;19;21;2266212
3;19;3;2267190
3;20;1;2272247
3;20;11;2275246
3;20;2;2297276
3;20;21;2297913
3;20;3;2299308
3;21;1;2304365
3;21;11;2307364
3;21;2;2329393
3;21;21;2330097
3;21;3;2331425
3;22;1;2336483
3;22;11;2339481
3;22;2;2361511
3;22;21;2362299
3;22;3;2363543
3;23;1;2368601
3;23;11;2371600
3;23;2;2393629
3;23;21;2394683
3;23;3;2395660
3;24;1;2400718
3;24;11;2403718
3;24;2;2425746
3;24;21;2426452
3;24;3;2427779
3;24;5;2432834
