PartcipantID:be16
InitialTimeStamp:11-39-27-416
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen
block;trial;eventType;elapsedTime
1;1;1;78
1;1;11;104
1;1;3;60146
1;2;1;70203
1;2;11;70227
1;2;21;101236
1;2;3;101264
1;3;1;111322
1;3;11;111346
1;3;21;158456
1;3;3;158485
1;4;1;168543
1;4;11;168566
1;4;21;198776
1;4;3;198803
1;5;1;208862
1;5;11;208883
1;5;3;268908
1;6;1;278966
1;6;11;278989
1;6;3;339011
1;7;1;349070
1;7;11;349092
1;7;3;409116
1;8;1;419175
1;8;11;419197
1;8;3;479218
1;9;1;489279
1;9;11;489301
1;9;21;542596
1;9;3;542624
2;0;4;552680
2;1;1;612724
2;1;11;612747
2;1;21;655119
2;1;3;655147
2;2;1;665205
2;2;11;665227
2;2;21;692236
2;2;3;692265
2;3;1;702324
2;3;11;702347
2;3;21;725923
2;3;3;725951
2;4;1;736010
2;4;11;736033
2;4;3;796055
2;5;1;806113
2;5;11;806139
2;5;21;853231
2;5;3;853260
2;6;1;863315
2;6;11;863338
2;6;21;899833
2;6;3;899860
2;7;1;909920
2;7;11;909943
2;7;3;969965
2;8;1;980024
2;8;11;980048
2;8;3;1040069
2;9;1;1050128
2;9;11;1050150
2;9;21;1085093
2;9;3;1085121
2;9;5;1095177
