PartcipantID:be20
InitialTimeStamp:11-48-02-684
block;trial;item;In(1)/Out(0);time
1;1;5;1;3.087315
1;1;1;1;9.837376
1;1;3;1;11.90483
1;2;3;1;9.035721
1;2;6;1;13.17
1;2;5;1;20.83662
1;3;5;1;3.503685
1;3;1;1;8.387676
1;3;4;1;10.65462
1;3;3;1;30.93792
1;4;3;1;5.654087
1;4;6;1;6.885323
1;4;1;1;29.66887
1;5;5;1;3.869171
1;5;1;1;5.720112
1;5;2;1;7.920094
1;6;6;1;2.404449
1;6;1;1;5.337376
1;6;2;1;6.755352
1;6;3;1;19.90529
1;6;3;0;24.78767
1;7;5;1;4.186085
1;7;3;1;6.15313
1;7;2;1;16.76931
1;8;1;1;4.903976
1;8;6;1;7.722569
1;8;5;1;25.37148
1;9;2;1;5.537048
1;9;1;1;6.87072
1;9;3;1;18.60448
2;1;3;1;3.687286
2;1;6;1;8.936909
2;1;1;1;17.97093
2;1;2;1;24.8871
2;2;2;1;2.703964
2;2;3;1;6.720455
2;2;1;1;12.43652
2;3;1;1;3.003613
2;3;5;1;5.6535
2;3;2;1;31.33745
2;4;5;1;3.836933
2;4;4;1;10.87122
2;4;6;1;19.10386
2;5;4;1;4.237289
2;5;3;1;8.187801
2;5;1;1;19.10541
2;6;4;1;3.102299
2;6;2;1;4.66972
2;6;5;1;14.67023
2;7;5;1;2.352695
2;7;6;1;11.13694
2;7;2;1;20.40373
2;7;1;1;44.75403
2;8;4;1;2.652935
2;8;6;1;4.03677
2;8;2;1;5.152462
2;8;5;1;10.88638
2;9;3;1;1.886681
2;9;2;1;4.719395
2;9;1;1;31.45408
