PartcipantID:be26
InitialTimeStamp:10-55-10-223
block;trial;item;In(1)/Out(0);time
1;1;3;1;5.282513
1;1;5;1;6.913231
1;1;6;1;14.56884
1;2;5;1;4.253204
1;2;4;1;10.52788
1;2;6;1;12.91879
1;3;6;1;4.079292
1;3;2;1;5.10783
1;3;4;1;7.27269
1;3;5;1;11.75667
1;4;3;1;2.145859
1;4;2;1;6.101898
1;4;6;1;7.25964
1;4;1;1;11.44413
1;5;5;1;4.296829
1;5;3;1;7.783253
1;5;2;1;14.64373
1;5;6;1;15.73212
1;5;6;0;25.03317
1;5;2;0;41.28421
1;5;2;1;43.32491
1;6;4;1;1.428089
1;6;2;1;5.090691
1;6;5;1;17.68634
1;7;6;1;3.649097
1;7;1;1;6.253696
1;7;5;1;10.08059
1;8;1;1;3.446033
1;8;2;1;5.521503
1;8;3;1;8.576591
1;9;2;1;2.059025
1;9;3;1;9.558716
1;9;1;1;12.75237
2;1;1;1;3.423664
2;1;5;1;7.812973
2;1;2;1;16.07048
2;2;1;1;6.853725
2;2;3;1;7.921856
2;2;5;1;11.8395
2;2;5;0;33.57497
2;2;6;1;34.66006
2;3;5;1;2.713097
2;3;1;1;6.464722
2;3;4;1;17.69604
2;3;3;1;20.04742
2;4;3;1;3.982315
2;4;5;1;13.61523
2;4;6;1;22.45786
2;4;6;0;29.66629
2;4;2;1;32.38216
2;4;2;0;34.38382
2;4;5;0;35.48698
2;4;1;1;36.46444
2;4;6;1;37.58849
2;5;2;1;3.269405
2;5;1;1;4.900661
2;5;5;1;6.930061
2;6;3;1;2.243214
2;6;2;1;6.179729
2;6;4;1;13.10791
2;6;4;0;28.14715
2;6;4;1;28.81873
2;6;4;0;30.1822
2;6;5;1;32.47726
2;6;5;0;40.18066
2;6;1;1;41.16571
2;7;4;1;7.936852
2;7;1;1;11.19898
2;7;3;1;14.20472
2;8;6;1;2.930981
2;8;2;1;6.225285
2;8;1;1;7.812885
2;9;5;1;6.93013
2;9;2;1;10.45459
2;9;6;1;11.48602
2;9;2;0;36.67853
2;9;3;1;37.55112
2;9;6;0;39.85107
2;9;2;1;40.7965
2;9;2;0;46.46116
2;9;6;1;48.09995
2;9;3;0;55.98509
2;9;2;1;57.05283
