PartcipantID:be23
InitialTimeStamp:11-47-13-546
block;trial;item;In(1)/Out(0);time
1;1;5;1;2.996025
1;1;1;1;9.049038
1;1;4;1;19.24608
1;1;3;1;21.53644
1;2;5;1;3.913589
1;2;4;1;25.19088
1;2;1;1;29.77324
1;2;1;0;45.1626
1;2;6;1;46.52628
1;3;3;1;16.51762
1;3;6;1;18.66822
1;3;5;1;27.38159
1;3;5;0;37.40061
1;3;1;1;41.05439
1;4;4;1;2.717968
1;4;2;1;4.48978
1;4;5;1;10.21838
1;5;3;1;4.863136
1;5;5;1;7.827797
1;5;6;1;10.79895
1;5;1;1;13.23243
1;5;1;0;16.2024
1;6;3;1;3.177795
1;6;5;1;4.675701
1;6;3;0;5.6446
1;6;1;1;8.162769
1;6;2;1;11.41696
1;6;3;1;18.88752
1;6;3;0;38.81459
1;7;2;1;2.296242
1;7;1;1;5.653946
1;7;3;1;9.758762
1;8;3;1;2.895817
1;8;1;1;4.515663
1;8;5;1;6.608692
1;9;6;1;4.653469
1;9;5;1;9.211094
1;9;2;1;10.93939
2;1;3;1;7.95327
2;1;6;1;9.616146
2;1;1;1;12.64234
2;1;2;1;22.90025
2;2;6;1;2.130463
2;2;2;1;4.432587
2;2;1;1;7.448917
2;2;4;1;16.95742
2;2;4;0;22.04989
2;2;3;1;23.3383
2;2;3;0;30.58563
2;3;3;1;6.794601
2;3;4;1;10.48077
2;3;6;1;26.33581
2;3;6;0;29.41049
2;3;1;1;30.27876
2;4;2;1;6.048
2;4;6;1;7.005932
2;4;4;1;8.00808
2;4;5;1;12.12743
2;5;1;1;3.568851
2;5;6;1;6.622875
2;5;5;1;21.03292
2;6;1;1;5.739918
2;6;2;1;7.363937
2;6;3;1;10.10307
2;6;3;0;40.93558
2;6;4;1;42.39195
2;6;4;0;45.50191
2;6;3;1;46.8284
2;7;3;1;2.423531
2;7;5;1;3.730762
2;7;5;0;6.056255
2;7;2;1;8.005146
2;7;1;1;20.55261
2;8;1;1;4.174702
2;8;5;1;10.17387
2;8;3;1;17.84723
2;8;3;0;29.23954
2;8;2;1;32.42914
2;9;5;1;2.156185
2;9;3;1;4.97908
2;9;2;1;11.66526
2;9;3;0;37.55717
2;9;6;1;38.68288
