PartcipantID:be21
InitialTimeStamp:15-49-06-794
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen
block;trial;eventType;elapsedTime
1;1;1;51
1;1;11;76
1;1;21;15940
1;1;3;15959
1;2;1;25989
1;2;11;26011
1;2;21;55712
1;2;3;55726
1;3;1;65767
1;3;11;65791
1;3;21;96081
1;3;3;96097
1;4;1;106138
1;4;11;106161
1;4;21;152995
1;4;3;153022
1;5;1;163082
1;5;11;163104
1;5;21;180658
1;5;3;180675
1;6;1;190713
1;6;11;190735
1;6;21;243357
1;6;3;243372
1;7;1;253434
1;7;11;253456
1;7;21;282414
1;7;3;282432
1;8;1;292468
1;8;11;292492
1;8;21;327920
1;8;3;327935
1;9;1;337975
1;9;11;337997
1;9;3;397999
2;0;4;408034
2;1;1;468080
2;1;11;468102
2;1;21;503684
2;1;3;503699
2;2;1;513745
2;2;11;513767
2;2;21;551065
2;2;3;551082
2;3;1;561120
2;3;11;561142
2;3;21;597318
2;3;3;597333
2;4;1;607377
2;4;11;607399
2;4;21;627160
2;4;3;627176
2;5;1;637216
2;5;11;637239
2;5;21;663516
2;5;3;663541
2;6;1;673582
2;6;11;673606
2;6;21;701585
2;6;3;701601
2;7;1;711647
2;7;11;711670
2;7;21;748976
2;7;3;748992
2;8;1;759036
2;8;11;759060
2;8;21;784057
2;8;3;784072
2;9;1;794114
2;9;11;794137
2;9;21;828178
2;9;3;828193
2;9;5;838234
