PartcipantID:be23
InitialTimeStamp:11-47-13-546
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen
block;trial;eventType;elapsedTime
1;1;1;51
1;1;11;77
1;1;3;60101
1;2;1;70132
1;2;11;70154
1;2;3;130168
1;3;1;140211
1;3;11;140234
1;3;3;200244
1;4;1;210287
1;4;11;210309
1;4;21;250342
1;4;3;250356
1;5;1;260400
1;5;11;260423
1;5;21;304769
1;5;3;304785
1;6;1;314823
1;6;11;314846
1;6;3;374848
1;7;1;384888
1;7;11;384911
1;7;21;427176
1;7;3;427191
1;8;1;437237
1;8;11;437260
1;8;3;497266
1;9;1;507305
1;9;11;507327
1;9;3;567325
2;0;4;577373
2;1;1;637416
2;1;11;637440
2;1;3;697447
2;2;1;707493
2;2;11;707516
2;2;3;767514
2;3;1;777557
2;3;11;777580
2;3;3;837608
2;4;1;847648
2;4;11;847670
2;4;3;907677
2;5;1;917718
2;5;11;917741
2;5;3;977746
2;6;1;987786
2;6;11;987809
2;6;3;1047813
2;7;1;1057852
2;7;11;1057875
2;7;21;1097978
2;7;3;1097995
2;8;1;1108033
2;8;11;1108056
2;8;3;1168057
2;9;1;1178125
2;9;11;1178147
2;9;3;1238151
2;9;5;1248199
