PartcipantID:be14
InitialTimeStamp:16-18-20-632
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen
block;trial;eventType;elapsedTime
1;1;1;56
1;1;11;79
1;1;3;60102
1;2;1;70132
1;2;11;70156
1;2;3;130156
1;3;1;140196
1;3;11;140218
1;3;3;200226
1;4;1;210268
1;4;11;210292
1;4;3;270294
1;5;1;280335
1;5;11;280359
1;5;3;340358
1;6;1;350398
1;6;11;350420
1;6;3;410436
1;7;1;420480
1;7;11;420503
1;7;3;480508
1;8;1;490550
1;8;11;490573
1;8;21;490703
1;8;3;490716
1;9;1;500761
1;9;11;500784
1;9;3;560799
2;0;4;570820
2;1;1;630866
2;1;11;630890
2;1;3;690898
2;2;1;700938
2;2;11;700961
2;2;3;760986
2;3;1;771000
2;3;11;771023
2;3;3;831024
2;4;1;841067
2;4;11;841090
2;4;3;901097
2;5;1;911136
2;5;11;911158
2;5;3;971161
2;6;1;981202
2;6;11;981225
2;6;3;1041239
2;7;1;1051288
2;7;11;1051312
2;7;3;1111308
2;8;1;1121351
2;8;11;1121375
2;8;3;1181381
2;9;1;1191424
2;9;11;1191447
2;9;3;1251447
2;9;5;1261487
