PartcipantID:be21
InitialTimeStamp:15-49-06-794
block;trial;item;In(1)/Out(0);time
1;1;5;1;2.976315
1;1;1;1;8.509171
1;1;4;1;9.769291
1;1;3;1;13.63537
1;2;6;1;1.615101
1;2;5;1;3.932133
1;2;2;1;5.056664
1;2;1;1;16.78518
1;2;1;0;21.2823
1;3;4;1;4.650925
1;3;2;1;5.919731
1;3;5;1;14.18612
1;4;3;1;3.143341
1;4;5;1;4.118313
1;4;2;1;7.813286
1;4;6;1;9.328465
1;4;6;0;12.83259
1;4;3;0;29.53076
1;4;3;1;32.43756
1;5;2;1;2.334518
1;5;1;1;3.181625
1;5;5;1;4.813847
1;6;1;1;1.828106
1;6;5;1;4.325382
1;6;3;1;6.190468
1;6;6;1;37.52849
1;6;5;0;38.60351
1;7;6;1;2.765423
1;7;2;1;4.712444
1;7;3;1;5.768101
1;7;1;1;6.897961
1;7;3;0;7.783901
1;8;4;1;3.197811
1;8;3;1;4.196373
1;8;2;1;5.172508
1;8;6;1;6.292423
1;8;6;0;7.020184
1;8;4;0;11.56422
1;8;1;1;14.37583
1;9;3;1;2.982487
1;9;6;1;4.890991
1;9;1;1;7.330032
1;9;1;0;8.097633
1;9;1;1;11.21992
1;9;6;0;21.48539
1;9;6;1;22.60923
1;9;6;0;32.59007
1;9;6;1;33.99097
1;9;6;0;35.93719
1;9;2;1;43.35388
1;9;2;0;46.14292
1;9;2;1;49.59249
1;9;2;0;58.90475
1;9;6;1;59.5659
2;1;4;1;2.473679
2;1;5;1;5.441559
2;1;6;1;10.22034
2;1;6;0;11.52739
2;1;6;1;12.05751
2;2;1;1;2.588783
2;2;2;1;3.866024
2;2;3;1;4.613667
2;3;6;1;4.636127
2;3;1;1;5.424595
2;3;5;1;6.558651
2;4;6;1;1.976685
2;4;4;1;5.140324
2;4;2;1;6.200611
2;4;5;1;11.57515
2;5;5;1;3.909866
2;5;3;1;5.848927
2;5;3;0;5.947456
2;5;3;1;6.631279
2;5;6;1;16.55838
2;6;4;1;3.138103
2;6;3;1;4.532467
2;6;1;1;6.42152
2;7;3;1;6.176014
2;7;6;1;8.064617
2;7;5;1;10.05312
2;7;1;1;12.50424
2;7;1;0;15.19585
2;7;5;0;31.07214
2;7;1;1;31.83967
2;8;3;1;3.797153
2;8;1;1;4.933239
2;8;2;1;6.262688
2;9;1;1;1.467213
2;9;5;1;4.767525
2;9;3;1;13.51651
2;9;3;0;23.38103
2;9;2;1;24.15043
