PartcipantID:be22
InitialTimeStamp:16-36-29-241
block;trial;item;In(1)/Out(0);time
1;1;1;1;4.22047
1;1;2;1;6.437504
1;1;3;1;8.104061
1;2;5;1;9.792297
1;2;3;1;11.92543
1;2;2;1;22.99231
1;3;5;1;5.536896
1;3;4;1;19.2047
1;3;6;1;20.17154
1;4;2;1;4.48735
1;4;3;1;5.936642
1;4;4;1;11.12041
1;4;5;1;16.30432
1;4;5;0;17.12104
1;4;5;1;18.80403
1;4;5;0;19.62082
1;4;5;1;41.87193
1;4;4;0;45.05538
1;4;1;1;52.45528
1;4;1;0;55.18842
1;4;1;1;59.95563
1;5;4;1;2.586601
1;5;2;1;4.870384
1;5;5;1;14.42163
1;6;1;1;1.953651
1;6;5;1;9.037617
1;6;3;1;23.78765
1;7;2;1;3.570599
1;7;4;1;4.603218
1;7;4;0;7.287426
1;7;3;1;8.170635
1;7;1;1;12.75346
1;8;3;1;2.869678
1;8;6;1;6.720539
1;8;1;1;10.42102
1;8;2;1;33.38713
1;9;5;1;3.020348
1;9;6;1;4.052784
1;9;2;1;26.25529
2;1;3;1;2.953236
2;1;6;1;12.98623
2;1;1;1;17.50296
2;2;1;1;5.089062
2;2;6;1;6.204174
2;2;5;1;12.13855
2;3;5;1;3.721222
2;3;1;1;6.836853
2;3;6;1;15.50441
2;3;6;0;17.45443
2;3;3;1;18.52109
2;3;4;1;19.32108
2;4;3;1;3.471077
2;4;4;1;4.436874
2;4;1;1;5.486893
2;5;6;1;3.269966
2;5;1;1;4.81987
2;5;2;1;7.653549
2;5;3;1;16.21986
2;5;6;0;28.23741
2;5;6;1;29.22061
2;5;3;0;30.70456
2;6;3;1;1.93729
2;6;5;1;3.354305
2;6;1;1;5.238007
2;6;6;1;11.30386
2;6;6;0;24.30442
2;7;2;1;3.10342
2;7;6;1;4.503544
2;7;4;1;5.303551
2;7;5;1;12.80352
2;8;5;1;3.153271
2;8;1;1;4.470169
2;8;2;1;6.386898
2;9;1;1;4.571537
2;9;5;1;16.18788
2;9;3;1;18.60524
2;9;1;0;19.38859
2;9;6;1;23.68806
