PartcipantID:be16
InitialTimeStamp:11-39-27-416
block;trial;item;In(1)/Out(0);time
1;1;6;1;3.019836
1;1;1;1;10.75382
1;1;3;1;14.05486
1;1;3;0;16.10482
1;1;2;1;17.67075
1;1;5;1;33.93793
1;1;5;0;45.42183
1;1;3;1;46.4557
1;1;3;0;50.12212
1;1;5;1;51.22319
1;1;5;0;57.90626
1;2;4;1;2.938004
1;2;2;1;6.087173
1;2;5;1;13.488
1;3;5;1;5.701431
1;3;6;1;9.851826
1;3;4;1;14.7855
1;4;2;1;4.369884
1;4;3;1;9.554352
1;4;1;1;13.32158
1;5;3;1;4.052883
1;5;6;1;11.63676
1;5;6;0;14.42117
1;5;6;1;19.10351
1;5;1;1;30.45483
1;5;2;1;35.321
1;5;2;0;48.07208
1;6;3;1;4.586868
1;6;2;1;16.4882
1;6;2;0;20.23827
1;6;2;1;21.00528
1;6;5;1;27.23838
1;6;5;0;43.78888
1;6;1;1;50.3405
1;7;5;1;4.019924
1;7;6;1;6.336662
1;7;2;1;9.07056
1;7;1;1;18.48799
1;7;1;0;19.32135
1;7;3;1;22.33868
1;7;2;0;30.85509
1;7;3;0;42.00628
1;7;2;1;43.37203
1;7;1;1;50.03883
1;8;1;1;3.336945
1;8;2;1;10.65548
1;8;6;1;20.85515
1;8;6;0;24.33848
1;8;3;1;25.63858
1;8;3;0;30.85534
1;8;6;1;37.40504
1;8;6;0;51.60706
1;8;3;1;53.12314
1;9;6;1;5.937889
1;9;1;1;10.05382
1;9;1;0;13.60367
1;9;3;1;16.7048
1;9;3;0;17.30479
1;9;3;1;18.80474
1;9;1;1;23.67074
1;9;5;1;42.02294
1;9;3;0;43.22198
2;1;1;1;5.703133
2;1;2;1;8.769802
2;1;5;1;10.5526
2;1;3;1;19.95327
2;1;3;0;34.57164
2;2;5;1;3.952393
2;2;1;1;10.9229
2;2;4;1;12.82189
2;2;3;1;15.46984
2;3;4;1;3.005146
2;3;2;1;4.055054
2;3;6;1;5.189064
2;3;5;1;11.89008
2;4;3;1;4.287525
2;4;6;1;10.27172
2;4;1;1;21.02225
2;4;1;0;37.6226
2;4;1;1;43.27336
2;5;1;1;2.503361
2;5;5;1;4.93618
2;5;3;1;12.90432
2;5;3;0;33.93822
2;5;2;1;37.43749
2;6;3;1;5.202019
2;6;5;1;9.419884
2;6;6;1;12.75323
2;7;5;1;4.536861
2;7;6;1;8.037685
2;7;3;1;11.57223
2;7;1;1;24.32296
2;7;1;0;40.78922
2;7;1;1;50.59051
2;8;1;1;4.187717
2;8;3;1;6.77137
2;8;5;1;13.65649
2;8;5;0;24.72325
2;8;5;1;25.47303
2;8;6;1;33.13984
2;8;6;0;40.00624
2;8;5;0;41.93974
2;8;6;1;43.92436
2;8;6;0;56.20809
2;8;5;1;57.29099
2;9;4;1;3.520199
2;9;3;1;10.90435
2;9;1;1;24.77227
