PartcipantID:be27
InitialTimeStamp:15-41-02-258
block;trial;item;In(1)/Out(0);time
1;1;5;1;16.35263
1;1;2;1;17.12324
1;1;6;1;17.93911
1;2;5;1;7.354122
1;2;3;1;8.633018
1;2;2;1;37.46682
1;3;3;1;5.454559
1;3;1;1;10.95417
1;3;6;1;11.76537
1;3;2;1;25.82272
1;4;3;1;2.878212
1;4;2;1;6.209167
1;4;1;1;17.54789
1;5;3;1;4.313454
1;5;4;1;5.440727
1;5;1;1;7.304302
1;6;4;1;3.372269
1;6;2;1;5.559628
1;6;5;1;8.858131
1;7;1;1;2.570335
1;7;5;1;3.913586
1;7;3;1;6.634815
1;8;1;1;2.075588
1;8;2;1;5.033138
1;8;3;1;8.698147
1;9;6;1;3.934547
1;9;1;1;6.91077
1;9;2;1;7.743099
2;1;5;1;3.406223
2;1;3;1;6.68499
2;1;4;1;8.048805
2;1;1;1;9.080738
2;2;2;1;1.91523
2;2;6;1;2.688728
2;2;4;1;4.503899
2;2;5;1;7.920567
2;3;5;1;2.692093
2;3;3;1;7.314163
2;3;6;1;8.004669
2;3;6;0;11.8847
2;3;3;0;12.73437
2;3;6;1;16.80846
2;3;4;1;29.57639
2;4;6;1;2.596977
2;4;5;1;9.038525
2;4;1;1;16.09901
2;5;2;1;2.045521
2;5;3;1;3.235672
2;5;1;1;11.75559
2;6;3;1;5.910976
2;6;5;1;6.542332
2;6;1;1;10.1125
2;6;3;0;22.95293
2;6;2;1;23.72528
2;7;6;1;2.613976
2;7;5;1;3.532494
2;7;2;1;8.483078
2;8;1;1;3.765675
2;8;5;1;7.760895
2;8;2;1;17.25226
2;9;5;1;6.605103
2;9;3;1;7.771244
2;9;6;1;16.45952
