PartcipantID:be17
InitialTimeStamp:15-57-55-126
block;trial;item;In(1)/Out(0);time
1;1;4;1;5.87698
1;1;5;1;7.566902
1;1;4;0;33.48662
1;1;3;1;35.92451
1;2;3;1;3.599323
1;2;2;1;8.934517
1;2;5;1;11.29148
1;3;5;1;3.315277
1;3;6;1;5.085442
1;3;2;1;6.613819
1;4;4;1;2.528408
1;4;2;1;3.793621
1;4;5;1;15.96137
1;5;3;1;2.101631
1;5;5;1;8.236973
1;5;6;1;10.04379
1;5;1;1;28.84527
1;5;5;0;30.37319
1;6;1;1;4.246441
1;6;5;1;7.292614
1;6;2;1;14.05415
1;7;2;1;2.297054
1;7;3;1;4.993759
1;7;5;1;6.071781
1;7;3;0;17.01496
1;7;1;1;18.25112
1;8;3;1;3.329117
1;8;4;1;4.938522
1;8;1;1;6.009563
1;9;5;1;2.769341
1;9;1;1;4.272774
1;9;6;1;14.11104
1;9;6;0;25.50013
1;9;3;1;26.44646
1;9;4;1;28.38705
2;1;3;1;4.955902
2;1;5;1;6.675613
2;1;6;1;21.222
2;2;6;1;3.902218
2;2;1;1;6.711468
2;2;2;1;8.240398
2;3;6;1;2.128086
2;3;3;1;3.070179
2;3;5;1;4.845295
2;3;2;1;6.985752
2;3;2;0;16.31963
2;3;6;0;50.59573
2;3;2;1;51.74974
2;4;2;1;2.456501
2;4;6;1;3.400265
2;4;4;1;4.395321
2;4;5;1;12.67165
2;5;1;1;5.42514
2;5;6;1;6.547188
2;5;5;1;7.752655
2;6;6;1;3.035824
2;6;3;1;5.257256
2;6;1;1;16.89624
2;7;1;1;3.323601
2;7;2;1;6.18082
2;7;3;1;7.44442
2;8;3;1;3.269207
2;8;1;1;4.563297
2;8;5;1;5.495159
2;8;6;1;10.56519
2;8;6;0;31.52575
2;9;2;1;2.091026
2;9;3;1;3.15379
2;9;1;1;4.376217
2;9;4;1;6.912708
2;9;4;0;25.15848
