PartcipantID:be30
InitialTimeStamp:11-15-30-293
block;trial;item;In(1)/Out(0);time
1;1;2;1;5.328896
1;1;3;1;15.1606
1;1;1;1;17.47138
1;3;3;1;11.24584
1;3;1;1;14.02351
1;3;5;1;17.74971
1;3;3;0;36.71533
1;3;6;1;38.40304
1;4;5;1;5.627804
1;4;6;1;9.359535
1;4;4;1;19.58572
1;5;4;1;6.47504
1;5;3;1;10.10114
1;5;1;1;11.89503
1;6;3;1;4.950218
1;6;5;1;8.125069
1;6;2;1;9.108131
1;6;4;1;23.60591
1;6;4;0;24.40678
1;7;3;1;6.684093
1;7;5;1;19.92455
1;7;5;0;22.61163
1;7;5;1;35.30039
1;7;6;1;36.35173
1;7;6;0;48.00503
1;8;1;1;2.877819
1;8;2;1;8.093567
1;8;3;1;15.48154
1;9;4;1;6.790333
1;9;2;1;9.087559
1;9;5;1;14.57647
2;1;5;1;5.125816
2;1;1;1;7.480698
2;1;6;1;10.85585
2;2;5;1;4.493916
2;2;2;1;7.372231
2;2;1;1;11.3828
2;3;5;1;4.669769
2;3;2;1;6.373325
2;3;6;1;12.23183
2;4;3;1;5.721161
2;4;1;1;15.34192
2;4;2;1;27.82859
2;4;6;1;28.74266
2;5;1;1;4.261501
2;5;5;1;13.15883
2;5;2;1;24.7195
2;6;6;1;6.359299
2;6;2;1;8.876076
2;6;1;1;11.03362
2;7;3;1;4.983879
2;7;5;1;7.057076
2;7;6;1;15.84827
2;8;3;1;5.411774
2;8;5;1;7.178898
2;8;6;1;18.93276
2;8;2;1;30.21224
2;8;6;0;31.70801
2;9;5;1;6.211288
2;9;1;1;9.419407
2;9;4;1;10.67975
2;9;3;1;13.9569
