PartcipantID:be14
InitialTimeStamp:16-18-20-632
block;trial;item;In(1)/Out(0);time
1;1;4;1;5.191257
1;1;2;1;9.743832
1;1;5;1;18.44193
1;2;6;1;4.241455
1;2;2;1;7.36953
1;2;1;1;12.37866
1;3;4;1;8.392963
1;3;3;1;10.80125
1;3;1;1;18.13477
1;4;2;1;7.046722
1;4;5;1;8.297649
1;4;1;1;21.67282
1;5;5;1;3.325787
1;5;1;1;7.532433
1;5;4;1;12.76624
1;5;3;1;15.46406
1;6;1;1;5.19096
1;6;5;1;12.6858
1;6;6;1;21.18321
1;7;5;1;3.040859
1;7;6;1;8.194107
1;7;4;1;11.63522
1;9;3;1;4.020313
1;9;5;1;23.66091
1;9;5;0;40.31785
1;9;1;1;40.89597
1;9;6;1;41.84561
2;1;1;1;4.170422
2;1;3;1;7.090164
2;1;2;1;10.00658
2;2;5;1;2.57761
2;2;6;1;4.674171
2;2;2;1;8.356354
2;3;3;1;5.444492
2;3;6;1;8.613461
2;3;6;0;12.32443
2;3;5;1;13.01333
2;3;1;1;15.99317
2;4;1;1;2.489693
2;4;5;1;5.234451
2;4;3;1;14.88926
2;4;2;1;30.01718
2;4;3;0;30.78363
2;5;6;1;8.946632
2;5;3;1;11.61279
2;5;5;1;17.42771
2;6;2;1;2.503029
2;6;4;1;3.746883
2;6;6;1;5.893135
2;6;5;1;12.67659
2;7;3;1;3.206982
2;7;4;1;13.26379
2;7;4;0;26.52886
2;7;6;1;27.19883
2;7;1;1;28.08808
2;7;2;1;38.36059
2;8;1;1;3.222317
2;8;2;1;7.368484
2;8;3;1;9.656979
2;9;3;1;2.895256
2;9;2;1;6.225586
2;9;4;1;9.616718
2;9;4;0;54.32852
