PartcipantID:be25
InitialTimeStamp:16-12-35-424
block;trial;item;In(1)/Out(0);time
1;1;2;1;2.468128
1;1;3;1;4.551792
1;1;5;1;19.96997
1;2;3;1;5.35458
1;2;4;1;6.271286
1;2;1;1;23.45419
1;3;6;1;3.370861
1;3;2;1;4.187286
1;3;4;1;5.603642
1;3;5;1;13.43823
1;4;5;1;4.202919
1;4;1;1;6.920479
1;4;4;1;10.70377
1;4;3;1;19.62083
1;5;4;1;3.604656
1;5;2;1;5.903767
1;5;5;1;15.57083
1;6;3;1;2.303856
1;6;4;1;27.68823
1;7;2;1;3.019585
1;7;5;1;4.202606
1;7;1;1;13.80416
1;8;3;1;4.354172
1;8;2;1;5.837509
1;8;5;1;10.58765
1;9;1;1;2.219193
1;9;3;1;4.552765
1;9;5;1;12.25373
1;9;3;0;55.93852
1;9;6;1;56.52174
1;9;3;1;57.67172
1;9;3;0;58.20491
2;1;6;1;3.154041
2;1;5;1;3.85368
2;1;3;1;16.95492
2;1;3;0;48.33907
2;1;2;1;48.92277
2;1;1;1;59.53988
2;2;6;1;2.887047
2;2;1;1;6.820602
2;2;2;1;10.3705
2;3;5;1;5.420448
2;3;3;1;8.9202
2;3;6;1;45.33947
2;4;5;1;3.603687
2;4;6;1;21.65364
2;4;4;1;35.45505
2;5;2;1;5.388313
2;5;3;1;10.60478
2;5;1;1;19.22178
2;6;1;1;5.837582
2;6;5;1;23.45448
2;6;6;1;31.68774
2;7;3;1;3.303181
2;7;5;1;11.40233
2;7;6;1;27.50219
2;7;6;0;43.50373
2;7;2;1;44.30367
2;7;6;1;58.87054
2;7;2;0;59.15399
2;8;1;1;2.003952
2;8;5;1;9.95435
2;8;2;1;23.73833
2;9;1;1;4.321106
2;9;2;1;9.471195
2;9;3;1;24.22104
