PartcipantID:be18
InitialTimeStamp:16-11-34-886
block;trial;item;In(1)/Out(0);time
1;1;5;1;6.319469
1;1;1;1;7.237232
1;1;4;1;17.10372
1;1;3;1;20.15417
1;2;1;1;2.918995
1;2;3;1;5.669811
1;2;5;1;6.13578
1;2;3;0;19.02061
1;2;6;1;22.33792
1;3;2;1;3.185829
1;3;3;1;4.119949
1;3;1;1;5.58614
1;4;5;1;3.853268
1;4;6;1;4.653046
1;4;6;0;5.286648
1;4;6;1;6.46981
1;4;1;1;6.953079
1;4;3;1;13.47131
1;4;3;0;15.42024
1;5;5;1;3.303032
1;5;3;1;5.053722
1;5;1;1;12.82006
1;5;1;0;30.82171
1;5;6;1;40.38878
1;6;3;1;2.068642
1;6;1;1;2.685791
1;6;4;1;3.885857
1;7;4;1;2.952648
1;7;2;1;4.418716
1;7;5;1;11.70297
1;8;1;1;2.105293
1;8;5;1;5.58963
1;8;2;1;21.37371
1;9;3;1;1.886883
1;9;6;1;2.919933
1;9;2;1;4.420334
1;9;1;1;5.504177
2;1;5;1;2.887409
2;1;3;1;3.704048
2;1;6;1;4.769619
2;1;2;1;9.937744
2;1;3;0;18.10447
2;2;2;1;2.969761
2;2;5;1;3.786678
2;2;3;1;5.586514
2;3;1;1;1.920029
2;3;5;1;2.570038
2;3;3;1;3.219101
2;3;2;1;4.369034
2;3;3;0;30.47182
2;4;3;1;5.502689
2;4;6;1;9.736485
2;4;1;1;20.55332
2;5;1;1;3.320728
2;5;2;1;5.887466
2;5;3;1;7.75436
2;6;5;1;3.187248
2;6;6;1;4.387318
2;6;2;1;5.853081
2;6;2;0;32.77227
2;6;6;0;33.67223
2;6;3;1;34.77224
2;6;2;1;42.45654
2;6;6;1;43.12255
2;6;3;0;44.00657
2;7;3;1;2.202759
2;7;5;1;3.287071
2;7;4;1;6.869999
2;7;4;0;16.80589
2;7;3;0;19.92176
2;7;4;1;23.43853
2;7;6;1;29.37221
2;8;6;1;4.804756
2;8;4;1;5.654758
2;8;2;1;7.103878
2;8;5;1;15.27207
2;9;6;1;3.003559
2;9;1;1;4.054096
2;9;2;1;5.887547
