PartcipantID:be29
InitialTimeStamp:15-46-05-954
block;trial;item;In(1)/Out(0);time
1;1;3;1;8.700405
1;1;5;1;10.85922
1;1;2;1;16.60184
1;2;1;1;5.437214
1;2;3;1;17.95179
1;2;5;1;24.73027
1;3;1;1;5.92466
1;3;5;1;9.834579
1;3;3;1;16.8829
1;4;5;1;6.962765
1;4;3;1;13.32661
1;4;6;1;17.18815
1;5;3;1;27.04012
1;5;5;1;51.479
1;5;6;1;58.49821
1;6;4;1;17.63046
1;6;2;1;26.21048
1;6;5;1;41.68616
1;7;5;1;15.39709
1;7;1;1;28.56781
1;7;2;1;42.52061
1;8;4;1;11.13603
1;8;3;1;18.8101
1;8;1;1;38.62354
1;9;1;1;11.85415
1;9;2;1;24.95867
1;9;3;1;33.64333
2;1;5;1;7.923149
2;1;6;1;14.58113
2;1;2;1;45.85466
2;2;6;1;6.768456
2;2;1;1;12.24637
2;2;2;1;21.51142
2;3;5;1;14.74731
2;3;3;1;20.55225
2;3;6;1;29.74384
2;4;2;1;6.639694
2;4;3;1;15.06491
2;4;1;1;26.85047
2;5;2;1;9.721451
2;5;6;1;10.83559
2;5;4;1;11.92307
2;5;5;1;21.19031
2;6;5;1;9.319016
2;6;1;1;15.15123
2;6;4;1;25.5986
2;6;3;1;31.40092
2;7;6;1;8.293133
2;7;1;1;24.19407
2;7;5;1;39.69732
2;8;3;1;6.403622
2;8;6;1;36.76721
2;8;1;1;37.66896
2;8;2;1;58.21115
2;9;5;1;8.66048
2;9;1;1;32.51511
2;9;4;1;34.13358
