PartcipantID:be25
InitialTimeStamp:16-12-35-424
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen
block;trial;eventType;elapsedTime
1;1;1;63
1;1;11;90
1;1;21;39397
1;1;3;39427
1;2;1;49483
1;2;11;49506
1;2;21;100550
1;2;3;100579
1;3;1;110635
1;3;11;110657
1;3;21;141435
1;3;3;141463
1;4;1;151521
1;4;11;151545
1;4;21;187487
1;4;3;187515
1;5;1;197573
1;5;11;197595
1;5;21;232972
1;5;3;232998
1;6;1;243059
1;6;11;243082
1;6;21;287023
1;6;3;287052
1;7;1;297109
1;7;11;297133
1;7;21;327541
1;7;3;327569
1;8;1;337628
1;8;11;337651
1;8;21;386743
1;8;3;386772
1;9;1;396830
1;9;11;396852
1;9;3;456875
2;0;4;466929
2;1;1;526973
2;1;11;527000
2;1;3;587029
2;2;1;597086
2;2;11;597109
2;2;21;631669
2;2;3;631697
2;3;1;641756
2;3;11;641779
2;3;21;697255
2;3;3;697283
2;4;1;707341
2;4;11;707363
2;4;21;760457
2;4;3;760484
2;5;1;770543
2;5;11;770565
2;5;21;811641
2;5;3;811668
2;6;1;821729
2;6;11;821752
2;6;21;878894
2;6;3;878922
2;7;1;888980
2;7;11;889002
2;7;3;949025
2;8;1;959084
2;8;11;959107
2;8;21;988314
2;8;3;988342
2;9;1;998401
2;9;11;998423
2;9;21;1034466
2;9;3;1034494
2;9;5;1044549
